Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
SantaRosa,664000,686241,FALSE,38.47143374,-122.7320261,-1,-1,-1,2,1164,-1,1,0.990344425,1960,Post1940,RES1,1,TRUE,1275,Custom,220476.1875
SantaRosa,450323,1187978,TRUE,38.42022905,-122.5848235,591,857,94,1,266,497,1,0.990344425,1960,Post1940,RES1,1,FALSE,1700,Average,198322
SantaRosa,348025,510385,TRUE,38.48252401,-122.6806765,769,1092,41,9,323,728,1,0.990344425,1960,Post1940,RES1,1,FALSE,1700,Custom,271167
SantaRosa,459330,442925,TRUE,38.483145,-122.680435,-1,-1,877,5,568,-1,1,0.990344425,1940,Post1940,RES1,1,FALSE,1700,Average,198322
SantaRosa,44810,32011,FALSE,38.47280392,-122.748495,-1,-1,275,836,323,-1,1,0.990344425,1940,Post1940,RES1,1,FALSE,1700,Average,198322
SantaRosa,255580,383370,FALSE,38.47695545,-122.7523575,356,581,62,923,225,294,1,0.990344425,1960,Post1940,RES1,1,FALSE,1700,Average,198322
SantaRosa,351000,526000,TRUE,38.47695569,-122.7525919,696,1049,76,907,353,620,1,0.990344425,1950,Post1940,RES1,1,TRUE,1275,Average,159196.5
SantaRosa,136472,382146,FALSE,38.47695688,-122.7528192,587,828,102,890,241,485,1,0.990344425,1940,Post1940,RES1,2,FALSE,1700,Average,208675
SantaRosa,206113,401869,FALSE,38.47695809,-122.7530465,257,841,31,871,584,226,1,0.990344425,1960,Post1940,RES1,2,FALSE,1700,Average,208675
SantaRosa,163031,321556,TRUE,38.47695927,-122.7532738,406,888,96,850,482,310,1,0.990344425,1960,Post1940,RES1,1,FALSE,1700,Custom,271167
SantaRosa,48691,128050,FALSE,38.47696077,-122.753502,195,420,30,832,225,165,1,0.990344425,1940,Post1940,RES1,2,FALSE,1700,Average,208675
SantaRosa,357510,536010,FALSE,38.47693853,-122.7541623,420,959,100,776,539,320,1,0.990344425,1960,Post1940,RES1,2,FALSE,1700,Average,208675
SantaRosa,237029,510130,TRUE,38.4769772,-122.7539218,441,716,35,803,275,406,1,0.990344425,1940,Post1940,RES1,1,FALSE,1700,Average,198322
SantaRosa,108616,282278,FALSE,38.47696156,-122.7537126,322,500,101,819,178,221,1,0.990344425,1950,Post1940,RES1,2,FALSE,1700,Average,208675
