,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,Image2010,Image2011,Image2012,Image2013,Image2014,Image2015,Image2016,Image2017,Image2018,Image2019,Image2020,Image2021,Image2022,Image2023,Image2008,Image2024
0,SantaRosa,664000.0,686241.0,False,38.47143374,-122.7320261,-1.0,-1.0,-1.0,2.0,1164.0,-1.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,True,1275.0,Custom,220476.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,SantaRosa,450323.0,1187978.0,True,38.42022905,-122.5848235,591.0,857.0,94.0,1.0,266.0,497.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,SantaRosa,348025.0,510385.0,True,38.48252401,-122.6806765,769.0,1092.0,41.0,9.0,323.0,728.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,SantaRosa,459330.0,442925.0,True,38.483145,-122.680435,-1.0,-1.0,877.0,5.0,568.0,-1.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
4,SantaRosa,44810.0,32011.0,False,38.47280392,-122.748495,-1.0,-1.0,275.0,836.0,323.0,-1.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5,SantaRosa,255580.0,383370.0,False,38.47695545,-122.7523575,356.0,581.0,62.0,923.0,225.0,294.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
6,SantaRosa,351000.0,526000.0,True,38.47695569,-122.7525919,696.0,1049.0,76.0,907.0,353.0,620.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,True,1275.0,Average,159196.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7,SantaRosa,136472.0,382146.0,False,38.47695688,-122.7528192,587.0,828.0,102.0,890.0,241.0,485.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
8,SantaRosa,206113.0,401869.0,False,38.47695809,-122.7530465,257.0,841.0,31.0,871.0,584.0,226.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
9,SantaRosa,163031.0,321556.0,True,38.47695927,-122.7532738,406.0,888.0,96.0,850.0,482.0,310.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10,SantaRosa,48691.0,128050.0,False,38.47696077,-122.753502,195.0,420.0,30.0,832.0,225.0,165.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,SantaRosa,357510.0,536010.0,False,38.47693853,-122.7541623,420.0,959.0,100.0,776.0,539.0,320.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,SantaRosa,237029.0,510130.0,True,38.4769772,-122.7539218,441.0,716.0,35.0,803.0,275.0,406.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
13,SantaRosa,108616.0,282278.0,False,38.47696156,-122.7537126,322.0,500.0,101.0,819.0,178.0,221.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
14,SantaRosa,43804.0,156185.0,False,38.47066691,-122.74835,258.0,359.0,32.0,569.0,101.0,226.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
15,SantaRosa,257641.0,462724.0,False,38.47066718,-122.7485649,433.0,611.0,125.0,569.0,178.0,308.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
16,SantaRosa,210235.0,137064.0,False,38.47066867,-122.7489896,1024.0,1409.0,85.0,569.0,385.0,939.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
17,SantaRosa,68425.0,149733.0,True,38.47065831,-122.7494365,378.0,528.0,60.0,565.0,150.0,318.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
