,Unnamed: 0.1,Unnamed: 0,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,Image2008,Image2009,Image2010,Image2011,Image2012,Image2013,Image2014,Image2015,Image2016,Image2017,Image2018,Image2019,Image2020,Image2021,Image2022,Image2023,Image2024,HSVGreen2008,HSVGreen2009,HSVGreen2010,HSVGreen2011,HSVGreen2012,HSVGreen2013,HSVGreen2014,HSVGreen2015,HSVGreen2016,HSVGreen2017,HSVGreen2018,HSVGreen2019,HSVGreen2020,HSVGreen2021,HSVGreen2022,HSVGreen2023,HSVGreen2024,RGBGreen2008,RGBGreen2009,RGBGreen2010,RGBGreen2011,RGBGreen2012,RGBGreen2013,RGBGreen2014,RGBGreen2015,RGBGreen2016,RGBGreen2017,RGBGreen2018,RGBGreen2019,RGBGreen2020,RGBGreen2021,RGBGreen2022,RGBGreen2023,RGBGreen2024
0,0,0,SantaRosa,664000,686241,False,38.47143374,-122.7320261,-1,-1,-1,2,1164,-1,1,0.990344425,1960,Post1940,RES1,1,True,1275,Custom,220476.1875,,,,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2011-07,,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2013-07,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2014-06,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2015-07,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2016-06,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2017-06,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2018-11,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2019-03,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2020-03,,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2022-12,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2023-04,,,,,0.989501953125,,0.8037109375,1.2216796875,2.15966796875,1.26318359375,15.537353515625,9.568603515625,5.285400390625,1.15478515625,,2.785400390625,1.95556640625,,,,,12506.78955078125,,12462.12548828125,12151.5693359375,12874.819580078125,13120.773193359375,11708.804443359375,12396.279052734375,13643.28662109375,14297.425048828125,,13991.52587890625,17220.96630859375,
1,1,1,SantaRosa,450323,1187978,True,38.42022905,-122.5848235,591,857,94,1,266,497,1,0.990344425,1960,Post1940,RES1,1,False,1700,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,SantaRosa,348025,510385,True,38.48252401,-122.6806765,769,1092,41,9,323,728,1,0.990344425,1960,Post1940,RES1,1,False,1700,Custom,271167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,SantaRosa,459330,442925,True,38.483145,-122.680435,-1,-1,877,5,568,-1,1,0.990344425,1940,Post1940,RES1,1,False,1700,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,SantaRosa,44810,32011,False,38.47280392,-122.748495,-1,-1,275,836,323,-1,1,0.990344425,1940,Post1940,RES1,1,False,1700,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,SantaRosa,255580,383370,False,38.47695545,-122.7523575,356,581,62,923,225,294,1,0.990344425,1960,Post1940,RES1,1,False,1700,Average,198322.0,,,,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2011-06,,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2013-07,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2014-04,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2015-05,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2016-04,,,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2019-03,,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2021-03,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2022-09,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2023-03,,,,,5.83203125,,3.383544921875,2.876708984375,3.00439453125,1.662841796875,,,1.15380859375,,1.140869140625,0.86962890625,0.52587890625,,,,,14675.00390625,,13210.821533203125,13550.198486328125,13265.165771484375,12712.31640625,,,14386.01171875,,12890.53466796875,12910.808837890625,13004.720458984375,
6,6,6,SantaRosa,351000,526000,True,38.47695569,-122.7525919,696,1049,76,907,353,620,1,0.990344425,1950,Post1940,RES1,1,True,1275,Average,159196.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,SantaRosa,136472,382146,False,38.47695688,-122.7528192,587,828,102,890,241,485,1,0.990344425,1940,Post1940,RES1,2,False,1700,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,SantaRosa,206113,401869,False,38.47695809,-122.7530465,257,841,31,871,584,226,1,0.990344425,1960,Post1940,RES1,2,False,1700,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,SantaRosa,163031,321556,True,38.47695927,-122.7532738,406,888,96,850,482,310,1,0.990344425,1960,Post1940,RES1,1,False,1700,Custom,271167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
