,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,Image2008,Image2009,Image2010,Image2011,Image2012,Image2013,Image2014,Image2015,Image2016,Image2017,Image2018,Image2019,Image2020,Image2021,Image2022,Image2023,Image2024
0,SantaRosa,664000,686241,False,38.47143374,-122.7320261,-1,-1,-1,2,1164,-1,1,0.990344425,1960,Post1940,RES1,1,True,1275,Custom,220476.1875,NA,NA,NA,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2011-07,NA,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2013-07,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2014-06,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2015-07,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2016-06,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2017-06,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2018-11,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2019-03,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2020-03,NA,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2022-12,Index:0 Lat:38.47143374 Long:-122.7320261 Date:2023-04,NA
1,SantaRosa,450323,1187978,True,38.42022905,-122.5848235,591,857,94,1,266,497,1,0.990344425,1960,Post1940,RES1,1,False,1700,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,SantaRosa,348025,510385,True,38.48252401,-122.6806765,769,1092,41,9,323,728,1,0.990344425,1960,Post1940,RES1,1,False,1700,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,SantaRosa,459330,442925,True,38.483145,-122.680435,-1,-1,877,5,568,-1,1,0.990344425,1940,Post1940,RES1,1,False,1700,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,SantaRosa,44810,32011,False,38.47280392,-122.748495,-1,-1,275,836,323,-1,1,0.990344425,1940,Post1940,RES1,1,False,1700,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,SantaRosa,255580,383370,False,38.47695545,-122.7523575,356,581,62,923,225,294,1,0.990344425,1960,Post1940,RES1,1,False,1700,Average,198322.0,NA,NA,NA,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2011-06,NA,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2013-07,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2014-04,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2015-05,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2016-04,NA,NA,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2019-03,NA,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2021-03,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2022-09,Index:5 Lat:38.47695545 Long:-122.7523575 Date:2023-03,NA
6,SantaRosa,351000,526000,True,38.47695569,-122.7525919,696,1049,76,907,353,620,1,0.990344425,1950,Post1940,RES1,1,True,1275,Average,159196.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,SantaRosa,136472,382146,False,38.47695688,-122.7528192,587,828,102,890,241,485,1,0.990344425,1940,Post1940,RES1,2,False,1700,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,SantaRosa,206113,401869,False,38.47695809,-122.7530465,257,841,31,871,584,226,1,0.990344425,1960,Post1940,RES1,2,False,1700,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,SantaRosa,163031,321556,True,38.47695927,-122.7532738,406,888,96,850,482,310,1,0.990344425,1960,Post1940,RES1,1,False,1700,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
